"","county","year","sum_total_income_amount","sum_total_income_returns","mean_total_income_amount","income_per_tax_return"
"463","white",2013,32088,6320,8022,5.07721518987342
"464","white",2014,33969,6540,8492.25,5.19403669724771
"465","white",2015,36724,6730,9181,5.45676077265973
"466","williamson",2011,1569863,73740,142714.818181818,21.2891646324925
"467","williamson",2012,1820168,77530,165469.818181818,23.4769508577325
"468","williamson",2013,2020009,80670,183637.181818182,25.0403991570596
"469","williamson",2014,2120878,83300,192807.090909091,25.4607202881152
"470","williamson",2015,2392584,87620,217507.636363636,27.306368409039
"471","wilson",2011,289628,35108,72407,8.24962971402529
"472","wilson",2012,329460,36600,82365,9.0016393442623
"473","wilson",2013,354325,37940,88581.25,9.33908803373748
"474","wilson",2014,409501,39710,102375.25,10.3122890959456
"475","wilson",2015,440796,41610,110199,10.5935111751983
