"","zip","gross_income","num_dependents","adj_gross_income","total_income_returns","total_income_amount","agi_salaries_wages_returns","agi_salaries_wages_amount","farm_returns","unemployment_compensation_returns","unemployment_compensation_amount","state_local_income_tax_returns","state_local_income_tax_amount","state_local_general_sales_returns","state_local_general_sales_amount","real_estate_returns","real_estate_amount","taxes_paid_returns","taxes_paid_amount","taxable_income_returns","taxable_income_amount","child_tax_credit_returns","child_tax_credit_amount","total_tax_payments_returns","total_tax_payments_amount","tax_due_at_filing_returns","tax_due_at_filing_amount","overpayments_refunded_returns","overpayments_refunded_amount"
"11",37010,"$50,000 under $75,000",260,19858,320,20123,270,15167,40,0,0,40,86,80,143,100,189,110,379,320,12440,110,163,310,2283,70,140,240,777
"12",37010,"$75,000 under $100,000",260,24055,280,24367,250,18525,0,20,68,0,0,100,247,120,237,120,535,280,16698,110,186,270,2744,70,262,210,704
"13",37010,"$100,000 under $200,000",470,50887,390,51699,360,39052,50,0,0,40,214,180,533,220,518,230,1214,390,39084,130,179,380,6676,150,1012,230,916
"14",37010,"$200,000 or more",110,31167,80,32291,70,14627,0,0,0,0,0,60,239,70,249,70,676,80,28143,0,0,80,8244,40,935,20,197
"15",37012,"Total",580,38676,920,39064,800,30883,110,30,63,0,0,80,170,90,87,110,277,660,23362,170,212,890,4832,120,233,770,2048
"16",37012,"$1 under $25,000",160,4810,390,4895,310,3624,30,30,63,0,0,0,0,0,0,0,0,140,862,0,0,360,823,40,30,330,685
"17",37012,"$25,000 under $50,000",180,9189,250,9343,220,7541,30,0,0,0,0,30,44,50,43,60,123,240,4514,70,53,250,1115,30,67,220,632
"18",37012,"$50,000 under $75,000",110,8321,140,8357,130,7023,20,0,0,0,0,30,63,0,0,0,0,140,5308,40,70,140,920,20,56,110,314
"19",37012,"$75,000 under $100,000",90,7105,80,7218,80,6010,30,0,0,0,0,0,0,20,19,20,62,80,4980,60,89,80,824,30,80,70,253
"20",37012,"$100,000 under $200,000",40,9251,60,9251,60,6685,0,0,0,0,0,20,63,20,25,30,92,60,7698,0,0,60,1150,0,0,40,164
"21",37012,"$200,000 or more",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"22",37013,"Total",32430,1613922,41590,1633573,37370,1403908,50,1160,4031,290,959,5930,10796,6660,11533,7710,24523,31420,936412,8090,8690,40250,218698,6370,15889,34660,94872
"23",37013,"$1 under $25,000",10930,226736,16930,231588,13990,187694,20,470,1642,30,18,510,495,530,824,700,1470,7400,45636,810,267,15870,42350,1930,1823,14590,35370
"24",37013,"$25,000 under $50,000",12830,511213,14340,517098,13550,469311,0,370,1307,80,116,1780,2440,1940,2957,2400,5791,13710,259638,4110,3581,14150,62566,1840,3026,12450,35706
"25",37013,"$50,000 under $75,000",4530,325713,5360,329103,5100,290320,0,150,487,50,129,1560,2726,1830,2938,2060,6082,5350,211860,1770,2742,5310,37856,1050,2637,4280,12155
"26",37013,"$75,000 under $100,000",2160,226814,2630,228965,2520,198288,30,100,352,50,146,960,2036,1080,1988,1180,4318,2630,162139,880,1422,2610,27824,640,1890,1970,6234
"27",37013,"$100,000 under $200,000",1820,270379,2150,273098,2050,226275,0,70,243,60,298,1010,2689,1160,2406,1230,5528,2150,210686,520,678,2130,38073,800,4044,1310,4951
"28",37013,"$200,000 or more",160,53067,180,53721,160,32020,0,0,0,20,252,110,410,120,420,140,1334,180,46453,0,0,180,10029,110,2469,60,456
"29",37014,"Total",560,94017,890,95889,690,61477,40,0,0,30,277,280,899,310,972,340,2205,740,73353,100,149,810,16623,250,2175,550,1596
"30",37014,"$1 under $25,000",40,2241,220,2283,150,1343,0,0,0,0,0,0,0,0,0,0,0,90,521,0,0,170,237,30,27,160,172
"31",37014,"$25,000 under $50,000",90,6332,170,6430,130,4340,0,0,0,0,0,30,32,30,52,30,90,160,3380,40,61,160,668,30,69,130,288
