"","system","county","AlgI","AlgII","BioI","Chemistry","ELA","EngI","EngII","EngIII","Math","Science","Enrollment","Pct_Black","Pct_Hispanic","Pct_Native_American","Pct_EL","Pct_SWD","Pct_ED","Per_Pupil_Expenditures","Pct_BHN","ACT_Composite","Pct_Chronically_Absent","Pct_Suspended","Pct_Expelled","Graduation","Dropout","CORE_region","mean_math","mean_science","mean_literature"
"24",250,"fentress",81.4,30.4,100,62.1,43.6,73.8,71.7,52.9,51.1,59.5,2092,0.5,1.2,0.1,0.5,16.5,74.7,9043.8,1.8,17.4,11.9,0,0,93.8,6.3,"Upper Cumberland CORE",81.4,100,43.6
"25",260,"franklin",64.5,53,61,29.7,42.2,71.2,62.6,41.2,45.8,58.2,5276,7.1,4.5,0.4,1,15.2,57.7,8610.1,12,18.7,12.8,4.1,0,89.1,5.6,"South Central CORE",64.5,61,42.2
"26",275,"gibson",83.7,73.2,75.3,63,57.8,83.8,73.5,59.6,67.5,79.7,3832,7.8,2,0,0.4,13.3,42.3,7270,9.8,19.7,8.2,0,0,94.9,4,"Northwest CORE",83.7,75.3,57.8
"27",280,"giles",64.8,56.6,51.3,33.4,45.3,74.5,56.2,36.4,48.2,62.8,3796,17.2,2.1,0.4,0.5,12.4,61.5,8952.3,19.7,18.2,27.6,3.1,0.4,87.2,9.9,"South Central CORE",64.8,51.3,45.3
"28",290,"grainger",55.6,46.5,55.9,36.7,37.9,62.2,51.6,32.6,44.9,56.9,3385,0.7,5.5,0.2,0,16,66.3,8436.4,6.4,18,18.6,0.6,0.1,88.1,7.3,"East TN CORE",55.6,55.9,37.9
"29",300,"greene",64.1,57.1,63.2,50.5,43.4,71.8,61.8,37,45.9,59.7,6775,1.5,3.1,0.3,0.9,18,66.1,8282.5,4.9,18.9,18.1,5.7,0,93.7,3.1,"First TN CORE",64.1,63.2,43.4
"30",310,"grundy",47.9,41.7,51.9,41.9,32.4,62,62,36.7,37.8,47.7,2105,0.2,1,0.1,0.4,19,81.2,9087.9,1.3,17.6,18.1,0.3,0,90,5.3,"Southeast CORE",47.9,51.9,32.4
"31",320,"hamblen",76.7,63.3,70.9,43.9,48,74.1,68,41.1,58.3,69.3,9917,6.7,21.7,0.4,11.9,13.7,64.3,8109.2,28.8,19.7,5.2,3.7,0.4,91,6.4,"First TN CORE",76.7,70.9,48
"32",330,"hamilton",60.9,43.6,57.6,31.2,44.8,67.6,59.8,33,54.9,59.7,41904,31.1,9.6,0.2,5,12.7,60.5,9728.8,40.9,18.9,14.1,7.9,0.6,82.6,12,"Southeast CORE",60.9,57.6,44.8
"33",340,"hancock",51.3,38.2,32,14.3,26.2,57.3,53.2,30.2,28.2,42.6,946,0.6,0.7,0.2,0.4,20.1,81.6,9762.1,1.5,17.4,18.6,0.8,0,89.5,7.9,"First TN CORE",51.3,32,26.2
"34",350,"hardeman",52.4,32.9,47,27.2,36.3,61.2,50.8,24.2,48,50,3679,53.5,1.7,0.1,0,15.2,81.8,9820.7,55.3,17.7,12.5,8.7,0.1,86.3,11.8,"Southwest/Memphis CORE",52.4,47,36.3
"35",360,"hardin",57.6,61.3,57.4,49.2,43.6,72.4,58.4,47.6,43.4,63,3474,5.9,2.3,0.4,0.2,17.4,75.1,8709.4,8.6,18.9,17.5,2.8,0.4,91,3.7,"Southwest/Memphis CORE",57.6,57.4,43.6
"36",370,"hawkins",69.7,51.4,58.4,45.3,45.7,70.3,55.5,45.1,54.1,65.8,6900,1.9,2.5,0.3,0.3,15.5,61.6,9131.7,4.7,19.3,13.5,5.1,0.2,91.5,5,"First TN CORE",69.7,58.4,45.7
"37",380,"haywood",57.6,32,46.1,28,33.9,61.6,43.6,28.6,44.5,43.5,2879,63.2,7,0,1.9,14.4,75.7,9888.4,70.2,17.4,13.1,3,0,85.2,7.6,"Southwest/Memphis CORE",57.6,46.1,33.9
"38",390,"henderson",86,88.4,76.4,53.7,53.3,81.1,77.7,51.8,72.1,71.2,3781,8.1,2.2,0,0,14.5,61.4,8412.5,10.3,19.5,10.8,0,0,96.4,2.4,"Southwest/Memphis CORE",86,76.4,53.3
"39",400,"henry",78.5,57.9,83.8,59.2,52.7,76.6,70.3,56.4,68.6,78.1,2946,7.2,2.3,0.1,0,12.9,60.3,9285,9.6,19.6,8.4,0.3,0,92,6.2,"Northwest CORE",78.5,83.8,52.7
"40",410,"hickman",40.2,22.6,54.2,45.1,48.9,60.3,57.5,31.3,58.1,68,3439,3.2,1.7,0.5,0.6,18.1,69.1,8965.8,5.4,18.4,17.3,1.6,0,92.5,5.2,"South Central CORE",40.2,54.2,48.9
"41",420,"houston",58.6,64.9,69.4,34,44.5,60.4,66.4,48.6,55.9,63,1298,5.1,2.2,0.7,0,16.3,56.7,9187.7,8,19.2,26.3,0.2,0,95.8,3.1,"Mid Cumberland CORE",58.6,69.4,44.5
"42",430,"humphreys",51.7,38.2,74.1,45.6,47,77.1,73.8,42.8,51.3,67.8,2738,4.6,1.9,0.4,0.4,15.6,58,8856.2,6.9,18.9,13.5,1.5,0.1,84.5,9.4,"Mid Cumberland CORE",51.7,74.1,47
"43",440,"jackson",45.9,33.3,68.9,50,42.8,61.8,47.3,46.3,45.3,64.7,1505,0.9,1.5,0.3,0,19.7,83.4,9165.8,2.7,18.4,8.2,0,0,87.4,8.4,"Upper Cumberland CORE",45.9,68.9,42.8
"44",450,"jefferson",80.4,53.7,76.5,49.5,40.9,76.4,70.1,38.1,50.2,62.2,7136,3.2,7,0.3,3.8,12.6,62.1,8627.7,10.5,19.5,13.2,1.8,0,89.7,7.8,"East TN CORE",80.4,76.5,40.9
"45",460,"johnson",74.7,40,65.2,33.3,49.8,67.1,50,23.5,52,70.8,2069,0.7,3.8,0.2,1.3,18.5,80.9,10449.2,4.7,19.2,12.3,0,0,98.6,0.7,"First TN CORE",74.7,65.2,49.8
"46",470,"knox",73.1,62.8,70.3,49.6,53.3,76.8,71.3,45.3,55.2,68.4,56383,16.6,7.2,0.4,4.3,13.9,40,9043,24.2,20.7,9.4,6.1,0,88.7,7.4,"East TN CORE",73.1,70.3,53.3
"47",480,"lake",22.9,0,25,36.5,32.5,36.8,34.6,31.7,34.7,45.6,807,30.2,3.3,0.1,0.1,18.6,77,10813,33.6,16.4,31.2,5.5,0.1,89.4,6.4,"Northwest CORE",22.9,25,32.5
"48",490,"lauderdale",79.9,63.6,51.9,32.6,40.5,62,57.6,37.4,53.6,62,4263,43.6,3.1,0.9,0.9,17.1,81.3,8877.3,47.6,17.6,9.5,6.7,0,97,0.7,"Southwest/Memphis CORE",79.9,51.9,40.5
"49",500,"lawrence",87.2,63.3,75.9,55.8,57.3,77.9,70.1,38.8,69.1,75.4,6434,3.4,2.5,0.2,0.6,14.2,50.5,8387.1,6.1,19.2,20.7,2,0,94.5,3.6,"South Central CORE",87.2,75.9,57.3
"50",510,"lewis",54.1,23.5,52.7,24.4,47.6,68.2,62.3,31,50.2,57.4,1758,3.3,2.4,0.5,0,14.9,72.1,7985.1,6.2,18.5,19.4,1,0,87.1,9.1,"South Central CORE",54.1,52.7,47.6
"51",520,"lincoln",77,62.3,77.3,56.7,57.7,75.6,74.5,52.3,66.5,75.6,3798,3.4,4.2,0.4,1.2,13.6,57,8153.4,8,19.6,14,2.4,0,95.4,3.4,"South Central CORE",77,77.3,57.7
"52",530,"loudon",71.9,44.5,68.9,46.5,55.2,72.7,68.9,40.8,61.2,71.6,4639,3,10.8,0.2,3.6,13.2,54.9,8776.7,14,18.8,11.6,2.5,0.1,87.1,12,"East TN CORE",71.9,68.9,55.2
"53",540,"mcminn",78.2,47.2,71.6,35.4,47.6,68.7,69,45.2,51.9,67.4,5529,5.5,4.8,0.3,0.1,12.7,65.5,7869.6,10.6,18.9,15.3,4.3,0,95.7,3.2,"Southeast CORE",78.2,71.6,47.6
"54",550,"mcnairy",59.2,62,60,36.1,47,69.6,65.2,53.3,59.4,63.9,4136,8.2,1.6,0.1,0.2,13.1,58.1,7790.4,9.9,18.6,4.7,1.1,0,94.3,3.4,"Southwest/Memphis CORE",59.2,60,47
"55",560,"macon",76.8,44.8,64.4,37.9,43,70.7,63.6,43.6,49.1,61.6,3637,0.6,8.2,0.4,2.9,17.1,62.8,8166.7,9.2,18.5,6.6,2,0.2,86,11,"Upper Cumberland CORE",76.8,64.4,43
"56",570,"madison",54.8,35.6,50.7,43.3,37.8,57.2,51.7,34.8,38.2,46.8,12280,60.5,6.7,0.1,4,14.8,78.1,9489.4,67.3,17.3,19.4,13,0.1,94.5,2.6,"Southwest/Memphis CORE",54.8,50.7,37.8
"57",580,"marion",0,20.5,78.1,38.3,45.9,72.4,59.3,51.2,53.5,68.1,4029,4.9,2,0.1,0,14,65.4,8697.2,7,18.7,16.3,0.8,0.1,84,8.3,"Southeast CORE",0,78.1,45.9
"58",590,"marshall",86.1,68,74.2,45.5,48,71.9,73.1,41.8,59.8,72.5,5208,9.4,7.7,0.4,3,12.2,53.7,8583.7,17.5,18.9,12.3,3.4,0,89.9,7.3,"South Central CORE",86.1,74.2,48
"59",600,"maury",65.1,55.3,65.2,40.2,43.3,68.6,61.6,41,45.4,60.1,11586,19.2,9,0.1,3.2,15.6,55.6,9106.2,28.3,18.6,29,5,0,87,9.7,"South Central CORE",65.1,65.2,43.3
"60",610,"meigs",71.2,47.6,72.1,43.6,49.3,74.8,75.5,59.1,59.1,66.5,1680,1.4,1.3,0.2,0.2,19.2,69.3,8703.1,2.9,19.2,13.8,2.2,0,100,0,"Southeast CORE",71.2,72.1,49.3
"61",620,"monroe",62.8,51.6,66,35.6,41.5,64.4,58.6,45.4,49.5,55,5335,2.5,4.9,0.3,0.2,14.8,65.6,8566.8,7.7,17.9,12,3.9,0.1,95.2,3.8,"East TN CORE",62.8,66,41.5
"62",630,"montgomery",74.1,67.9,76.8,52.8,55.6,77.2,70.6,47.9,63.5,78.1,30670,28.2,11.5,1,2.7,14.2,49.4,8675.5,40.7,19.4,6,5.3,0.3,93.4,4,"Mid Cumberland CORE",74.1,76.8,55.6
"63",640,"moore",78,43.5,85.1,60,54.3,90.1,73,32.4,61.9,67.8,886,3.6,0.8,0.2,0,15.3,48.5,9946.8,4.6,18.5,8.8,1.2,0,86.7,10.7,"South Central CORE",78,85.1,54.3
"64",650,"morgan",53.1,24.3,52,25.6,34.1,66.1,55.1,32.9,35.2,50.8,3009,1,1.1,0.2,0.3,15.3,68.4,8597.9,2.3,17.9,5.7,1.4,0,97.9,1.7,"East TN CORE",53.1,52,34.1
"65",660,"obion",77.6,75.3,74.5,61.8,47.3,74,66,49.5,53.6,71.3,3435,5.6,4.5,0,0,15,59.1,8731.7,10.1,19.1,11.3,2.2,0,87.7,7.5,"Northwest CORE",77.6,74.5,47.3
