"","zip","gross_income","num_dependents","adj_gross_income","total_income_returns","total_income_amount","taxes_paid_returns","taxes_paid_amount"
"959",37309,"$200,000 or more",0,0,0,0,0,0
"960",37310,"Total",1280,112558,1950,114096,370,1574
"961",37310,"$1 under $25,000",340,9262,750,9423,0,0
"962",37310,"$25,000 under $50,000",300,16562,460,16687,90,234
"963",37310,"$50,000 under $75,000",210,16600,270,16821,70,194
"964",37310,"$75,000 under $100,000",160,16772,190,16946,70,266
"965",37310,"$100,000 under $200,000",180,26594,200,27040,100,501
"966",37310,"$200,000 or more",90,26768,80,27179,40,379
"967",37311,"Total",9310,408677,11020,414270,1180,5184
"968",37311,"$1 under $25,000",4150,74096,5790,75092,120,223
"969",37311,"$25,000 under $50,000",3410,104373,3000,105314,260,655
"970",37311,"$50,000 under $75,000",910,67596,1110,68433,260,794
"971",37311,"$75,000 under $100,000",360,42516,500,43142,170,634
"972",37311,"$100,000 under $200,000",380,64915,490,65901,270,1506
"973",37311,"$200,000 or more",100,55181,130,56388,100,1372
"974",37312,"Total",9910,838593,14690,850841,3300,14704
"975",37312,"$1 under $25,000",2420,71057,5730,72331,270,667
"976",37312,"$25,000 under $50,000",2900,126571,3520,128215,570,1485
"977",37312,"$50,000 under $75,000",1640,128560,2090,130107,630,2025
"978",37312,"$75,000 under $100,000",1100,114039,1320,115412,520,1997
"979",37312,"$100,000 under $200,000",1460,214598,1610,217549,970,4985
"980",37312,"$200,000 or more",390,183768,420,187227,340,3545
"981",37313,"Total",340,18453,470,18682,40,120
"982",37313,"$1 under $25,000",140,2624,220,2684,0,0
"983",37313,"$25,000 under $50,000",100,4632,130,4670,0,0
"984",37313,"$50,000 under $75,000",60,4197,70,4197,40,120
"985",37313,"$75,000 under $100,000",40,2851,30,2982,0,0
"986",37313,"$100,000 under $200,000",0,4149,20,4149,0,0
"987",37313,"$200,000 or more",0,0,0,0,0,0
"988",37317,"Total",550,35712,930,36087,130,536
"989",37317,"$1 under $25,000",240,5854,480,5962,0,0
"990",37317,"$25,000 under $50,000",160,7777,220,7847,50,104
"991",37317,"$50,000 under $75,000",80,7313,120,7448,30,87
"992",37317,"$75,000 under $100,000",40,4623,50,4685,20,115
"993",37317,"$100,000 under $200,000",30,10145,60,10145,30,230
"994",37317,"$200,000 or more",0,0,0,0,0,0
"995",37318,"Total",480,28729,820,29009,60,175
"996",37318,"$1 under $25,000",220,5280,420,5329,0,0
"997",37318,"$25,000 under $50,000",150,7426,210,7552,30,66
"998",37318,"$50,000 under $75,000",60,5574,90,5574,0,0
"999",37318,"$75,000 under $100,000",20,4092,50,4197,30,109
"1000",37318,"$100,000 under $200,000",30,6357,50,6357,0,0
"1001",37318,"$200,000 or more",0,0,0,0,0,0
"1002",37321,"Total",5880,339107,7710,343031,880,3238
"1003",37321,"$1 under $25,000",2110,41949,3370,42565,70,125
"1004",37321,"$25,000 under $50,000",1840,75842,2120,76517,170,360
"1005",37321,"$50,000 under $75,000",930,62985,1030,63517,170,427
"1006",37321,"$75,000 under $100,000",470,45968,540,46432,160,541
"1007",37321,"$100,000 under $200,000",460,70057,540,70881,230,1109
"1008",37321,"$200,000 or more",70,42306,110,43119,80,676
"1009",37322,"Total",2170,141905,3300,143336,360,1162
"1010",37322,"$1 under $25,000",730,17239,1420,17527,30,48
"1011",37322,"$25,000 under $50,000",610,29963,840,30229,60,113
"1012",37322,"$50,000 under $75,000",370,30476,500,30638,90,247
"1013",37322,"$75,000 under $100,000",240,23422,270,23556,60,174
"1014",37322,"$100,000 under $200,000",220,32814,250,33395,120,580
"1015",37322,"$200,000 or more",0,7991,20,7991,0,0
"1016",37323,"Total",9000,538979,12940,544827,1860,6005
"1017",37323,"$1 under $25,000",2680,69751,5500,70710,150,235
"1018",37323,"$25,000 under $50,000",2860,126324,3520,127606,410,919
"1019",37323,"$50,000 under $75,000",1530,115193,1880,116137,450,1248
"1020",37323,"$75,000 under $100,000",1030,96224,1120,96981,380,1273
"1021",37323,"$100,000 under $200,000",810,105569,830,106750,410,1932
"1022",37323,"$200,000 or more",90,25918,90,26643,60,398
"1023",37324,"Total",1380,86763,2210,87837,160,550
"1024",37324,"$1 under $25,000",550,13104,1030,13287,20,37
"1025",37324,"$25,000 under $50,000",380,21234,600,21414,30,66
"1026",37324,"$50,000 under $75,000",200,16656,270,16770,40,118
"1027",37324,"$75,000 under $100,000",110,13490,160,13655,30,102
"1028",37324,"$100,000 under $200,000",120,15962,130,16394,40,227
"1029",37324,"$200,000 or more",20,6317,20,6317,0,0
"1030",37325,"Total",420,31776,720,32053,100,334
"1031",37325,"$1 under $25,000",140,3701,300,3763,30,53
"1032",37325,"$25,000 under $50,000",100,6644,180,6686,0,0
"1033",37325,"$50,000 under $75,000",60,6282,100,6352,40,137
"1034",37325,"$75,000 under $100,000",60,5970,70,5970,0,0
"1035",37325,"$100,000 under $200,000",60,9179,70,9282,30,144
"1036",37325,"$200,000 or more",0,0,0,0,0,0
"1037",37327,"Total",3500,204170,4670,206912,630,2454
"1038",37327,"$1 under $25,000",1390,26233,2110,26778,60,136
"1039",37327,"$25,000 under $50,000",1010,42506,1190,42917,130,316
"1040",37327,"$50,000 under $75,000",470,36737,600,37084,100,294
"1041",37327,"$75,000 under $100,000",340,31956,370,32289,120,452
"1042",37327,"$100,000 under $200,000",250,41955,330,42499,170,862
"1043",37327,"$200,000 or more",40,24783,70,25345,50,394
"1044",37328,"Total",450,24605,570,25059,70,213
"1045",37328,"$1 under $25,000",180,3561,250,3665,0,0
"1046",37328,"$25,000 under $50,000",120,5303,150,5371,40,95
"1047",37328,"$50,000 under $75,000",60,5188,80,5251,0,0
"1048",37328,"$75,000 under $100,000",50,3957,50,4176,30,118
"1049",37328,"$100,000 under $200,000",40,6596,40,6596,0,0
"1050",37328,"$200,000 or more",0,0,0,0,0,0
"1051",37329,"Total",1520,97315,2190,98376,260,804
"1052",37329,"$1 under $25,000",440,11191,900,11397,20,30
"1053",37329,"$25,000 under $50,000",400,20227,560,20393,50,87
"1054",37329,"$50,000 under $75,000",290,21278,350,21438,60,142
"1055",37329,"$75,000 under $100,000",200,17601,200,17786,60,198
"1056",37329,"$100,000 under $200,000",190,19994,160,20338,70,347
"1057",37329,"$200,000 or more",0,7024,20,7024,0,0
"1058",37330,"Total",1750,148037,3090,149885,390,1789
"1059",37330,"$1 under $25,000",500,15702,1220,15952,30,79
"1060",37330,"$25,000 under $50,000",520,29843,820,30163,70,170
"1061",37330,"$50,000 under $75,000",300,27933,450,28192,80,251
"1062",37330,"$75,000 under $100,000",220,25817,300,26016,70,274
"1063",37330,"$100,000 under $200,000",190,32990,260,33283,110,659
"1064",37330,"$200,000 or more",20,15752,40,16279,30,356
"1065",37331,"Total",1950,130175,3140,131381,350,1077
"1066",37331,"$1 under $25,000",690,17469,1400,17745,30,42
"1067",37331,"$25,000 under $50,000",510,28416,790,28636,80,183
"1068",37331,"$50,000 under $75,000",350,28260,460,28473,70,180
"1069",37331,"$75,000 under $100,000",230,23548,270,23728,70,208
"1070",37331,"$100,000 under $200,000",170,25313,200,25630,100,464
"1071",37331,"$200,000 or more",0,7169,20,7169,0,0
"1072",37332,"Total",760,46371,1090,46698,120,429
"1073",37332,"$1 under $25,000",230,5654,450,5708,0,0
"1074",37332,"$25,000 under $50,000",290,11722,320,11823,40,110
"1075",37332,"$50,000 under $75,000",90,9431,150,9501,20,65
"1076",37332,"$75,000 under $100,000",80,7406,90,7442,20,62
"1077",37332,"$100,000 under $200,000",70,12158,80,12224,40,192
"1078",37332,"$200,000 or more",0,0,0,0,0,0
"1079",37333,"Total",140,5357,170,5378,0,0
"1080",37333,"$1 under $25,000",80,1193,100,1214,0,0
"1081",37333,"$25,000 under $50,000",40,1499,40,1499,0,0
"1082",37333,"$50,000 under $75,000",20,2665,30,2665,0,0
"1083",37333,"$75,000 under $100,000",0,0,0,0,0,0
"1084",37333,"$100,000 under $200,000",0,0,0,0,0,0
"1085",37333,"$200,000 or more",0,0,0,0,0,0
"1086",37334,"Total",6390,461501,9740,468403,1400,5582
"1087",37334,"$1 under $25,000",1990,49692,3900,50684,130,223
"1088",37334,"$25,000 under $50,000",1840,93703,2610,94780,250,545
"1089",37334,"$50,000 under $75,000",970,83684,1360,84570,260,672
"1090",37334,"$75,000 under $100,000",670,73122,850,74161,220,789
"1091",37334,"$100,000 under $200,000",800,114738,880,116347,430,2409
"1092",37334,"$200,000 or more",120,46562,140,47861,110,944
"1093",37335,"Total",720,45843,1070,46355,130,463
"1094",37335,"$1 under $25,000",210,5286,420,5382,0,0
"1095",37335,"$25,000 under $50,000",200,11055,310,11237,60,137
"1096",37335,"$50,000 under $75,000",120,9505,160,9577,0,0
"1097",37335,"$75,000 under $100,000",90,7217,90,7260,30,104
"1098",37335,"$100,000 under $200,000",100,12780,90,12899,40,222
"1099",37335,"$200,000 or more",0,0,0,0,0,0
"1100",37336,"Total",1130,99173,1850,100488,400,1738
"1101",37336,"$1 under $25,000",260,8120,640,8271,30,42
"1102",37336,"$25,000 under $50,000",330,17514,490,17688,80,211
"1103",37336,"$50,000 under $75,000",220,18730,300,18904,100,295
"1104",37336,"$75,000 under $100,000",150,18108,210,18345,60,234
"1105",37336,"$100,000 under $200,000",150,23656,180,24235,100,525
"1106",37336,"$200,000 or more",20,13045,30,13045,30,431
"1107",37337,"Total",340,19134,530,19338,60,129
"1108",37337,"$1 under $25,000",120,2801,240,2870,30,44
"1109",37337,"$25,000 under $50,000",100,5395,150,5455,0,0
"1110",37337,"$50,000 under $75,000",80,5380,90,5455,30,85
"1111",37337,"$75,000 under $100,000",40,2672,30,2672,0,0
"1112",37337,"$100,000 under $200,000",0,2886,20,2886,0,0
"1113",37337,"$200,000 or more",0,0,0,0,0,0
"1114",37338,"Total",910,47980,1280,48327,130,388
"1115",37338,"$1 under $25,000",340,7500,590,7591,0,0
"1116",37338,"$25,000 under $50,000",280,12778,360,12897,40,93
"1117",37338,"$50,000 under $75,000",150,10253,170,10283,50,131
"1118",37338,"$75,000 under $100,000",80,6669,80,6776,0,0
"1119",37338,"$100,000 under $200,000",60,10780,80,10780,40,164
"1120",37338,"$200,000 or more",0,0,0,0,0,0
"1121",37339,"Total",530,22274,680,22461,30,62
"1122",37339,"$1 under $25,000",220,3942,330,4018,0,0
"1123",37339,"$25,000 under $50,000",160,6740,190,6808,30,62
"1124",37339,"$50,000 under $75,000",90,6175,100,6218,0,0
"1125",37339,"$75,000 under $100,000",60,5417,60,5417,0,0
"1126",37339,"$100,000 under $200,000",0,0,0,0,0,0
"1127",37339,"$200,000 or more",0,0,0,0,0,0
"1128",37340,"Total",170,9862,260,9931,0,0
"1129",37340,"$1 under $25,000",90,1715,130,1784,0,0
"1130",37340,"$25,000 under $50,000",30,2631,70,2631,0,0
"1131",37340,"$50,000 under $75,000",50,2520,40,2520,0,0
"1132",37340,"$75,000 under $100,000",0,2996,20,2996,0,0
"1133",37340,"$100,000 under $200,000",0,0,0,0,0,0
"1134",37340,"$200,000 or more",0,0,0,0,0,0
"1135",37341,"Total",3440,333242,5860,337511,1360,5923
"1136",37341,"$1 under $25,000",730,24697,1990,25137,100,191
"1137",37341,"$25,000 under $50,000",960,54466,1490,54991,270,713
"1138",37341,"$50,000 under $75,000",680,56259,910,56812,270,850
"1139",37341,"$75,000 under $100,000",480,58572,680,58997,240,925
"1140",37341,"$100,000 under $200,000",500,86315,650,87525,370,1864
"1141",37341,"$200,000 or more",90,52933,140,54049,110,1380
"1142",37342,"Total",1020,67237,1520,68173,180,634
"1143",37342,"$1 under $25,000",310,7434,600,7550,0,0
"1144",37342,"$25,000 under $50,000",290,15021,410,15203,50,105
"1145",37342,"$50,000 under $75,000",190,14084,230,14178,40,129
"1146",37342,"$75,000 under $100,000",110,12173,140,12278,30,113
"1147",37342,"$100,000 under $200,000",120,18525,140,18964,60,287
"1148",37342,"$200,000 or more",0,0,0,0,0,0
"1149",37343,"Total",11610,1174090,19410,1190925,4780,23489
"1150",37343,"$1 under $25,000",2820,84262,6890,85887,320,850
"1151",37343,"$25,000 under $50,000",2940,160840,4440,162943,760,2202
"1152",37343,"$50,000 under $75,000",1680,167577,2720,169714,850,3085
"1153",37343,"$75,000 under $100,000",1550,177111,2040,179100,800,3500
"1154",37343,"$100,000 under $200,000",2120,359710,2670,364520,1540,8991
"1155",37343,"$200,000 or more",500,224590,650,228761,510,4861
"1156",37345,"Total",780,38510,940,39013,80,278
"1157",37345,"$1 under $25,000",240,4929,390,5039,20,46
"1158",37345,"$25,000 under $50,000",250,9389,260,9513,0,0
"1159",37345,"$50,000 under $75,000",130,9067,150,9138,40,115
"1160",37345,"$75,000 under $100,000",100,7927,90,8004,0,0
"1161",37345,"$100,000 under $200,000",60,7198,50,7319,20,117
"1162",37345,"$200,000 or more",0,0,0,0,0,0
"1163",37347,"Total",2250,158794,3480,160633,480,1732
"1164",37347,"$1 under $25,000",700,16827,1360,17105,40,88
"1165",37347,"$25,000 under $50,000",640,33447,930,33712,100,217
"1166",37347,"$50,000 under $75,000",360,32066,530,32376,90,251
"1167",37347,"$75,000 under $100,000",260,28281,330,28520,80,282
"1168",37347,"$100,000 under $200,000",290,39003,300,39750,150,737
"1169",37347,"$200,000 or more",0,9170,30,9170,20,157
"1170",37348,"Total",340,19942,460,20076,50,187
"1171",37348,"$1 under $25,000",130,2651,200,2712,0,0
"1172",37348,"$25,000 under $50,000",110,4543,120,4543,20,56
"1173",37348,"$50,000 under $75,000",50,4244,70,4317,0,0
"1174",37348,"$75,000 under $100,000",20,2941,30,2941,30,131
"1175",37348,"$100,000 under $200,000",30,5563,40,5563,0,0
"1176",37348,"$200,000 or more",0,0,0,0,0,0
"1177",37350,"Total",580,288348,970,292851,590,8027
"1178",37350,"$1 under $25,000",20,2435,250,2510,30,136
"1179",37350,"$25,000 under $50,000",30,3363,90,3433,40,168
"1180",37350,"$50,000 under $75,000",40,4950,80,5046,50,267
"1181",37350,"$75,000 under $100,000",60,6640,80,6757,50,356
"1182",37350,"$100,000 under $200,000",140,25823,180,26508,150,1276
"1183",37350,"$200,000 or more",290,245137,290,248597,270,5824
"1184",37351,"Total",80,4955,190,4997,0,0
"1185",37351,"$1 under $25,000",40,1265,100,1265,0,0
"1186",37351,"$25,000 under $50,000",40,1915,60,1957,0,0
"1187",37351,"$50,000 under $75,000",0,1775,30,1775,0,0
"1188",37351,"$75,000 under $100,000",0,0,0,0,0,0
"1189",37351,"$100,000 under $200,000",0,0,0,0,0,0
"1190",37351,"$200,000 or more",0,0,0,0,0,0
"1191",37352,"Total",850,76057,1400,77116,190,824
"1192",37352,"$1 under $25,000",210,6370,510,6500,0,0
"1193",37352,"$25,000 under $50,000",210,11946,320,12065,40,95
"1194",37352,"$50,000 under $75,000",140,12035,200,12134,30,77
"1195",37352,"$75,000 under $100,000",130,13675,160,13818,30,118
"1196",37352,"$100,000 under $200,000",140,22767,180,23335,70,333
"1197",37352,"$200,000 or more",20,9264,30,9264,20,201
"1198",37353,"Total",1530,123793,2200,126005,490,2316
"1199",37353,"$1 under $25,000",390,10365,830,10517,50,95
"1200",37353,"$25,000 under $50,000",470,21762,600,22048,90,308
"1201",37353,"$50,000 under $75,000",230,18886,300,19129,90,273
"1202",37353,"$75,000 under $100,000",160,16308,190,16489,70,273
"1203",37353,"$100,000 under $200,000",190,27766,210,28271,130,686
"1204",37353,"$200,000 or more",90,28706,70,29551,60,681
"1205",37354,"Total",4550,269624,6780,273106,770,2653
"1206",37354,"$1 under $25,000",1610,36721,2970,37358,70,116
"1207",37354,"$25,000 under $50,000",1340,70049,1940,70878,190,470
"1208",37354,"$50,000 under $75,000",810,60266,980,60712,180,473
"1209",37354,"$75,000 under $100,000",440,40132,470,40588,110,397
"1210",37354,"$100,000 under $200,000",320,47006,370,47547,180,829
"1211",37354,"$200,000 or more",30,15450,50,16023,40,368
"1212",37355,"Total",7660,506005,11100,512741,1360,5625
"1213",37355,"$1 under $25,000",2560,58395,4670,59345,120,240
"1214",37355,"$25,000 under $50,000",2200,101709,2830,103112,270,804
"1215",37355,"$50,000 under $75,000",1210,99095,1610,100049,270,827
"1216",37355,"$75,000 under $100,000",850,82453,960,83229,230,906
"1217",37355,"$100,000 under $200,000",740,115323,900,116733,380,2071
"1218",37355,"$200,000 or more",100,49030,130,50273,90,777
"1219",37356,"Total",650,56312,1090,57220,170,856
"1220",37356,"$1 under $25,000",270,6165,520,6290,0,0
"1221",37356,"$25,000 under $50,000",180,9311,260,9434,40,103
"1222",37356,"$50,000 under $75,000",80,7208,110,7309,30,98
"1223",37356,"$75,000 under $100,000",50,6534,70,6534,30,130
"1224",37356,"$100,000 under $200,000",70,15143,110,15702,70,525
"1225",37356,"$200,000 or more",0,11951,20,11951,0,0
"1226",37357,"Total",1690,102621,2290,104238,220,734
"1227",37357,"$1 under $25,000",560,11991,950,12214,30,41
"1228",37357,"$25,000 under $50,000",490,22205,620,22442,40,77
"1229",37357,"$50,000 under $75,000",280,21633,360,21879,50,130
"1230",37357,"$75,000 under $100,000",160,14747,170,14917,30,136
"1231",37357,"$100,000 under $200,000",170,21552,170,22293,70,350
"1232",37357,"$200,000 or more",30,10493,20,10493,0,0
"1233",37359,"Total",190,15899,300,16075,30,117
"1234",37359,"$1 under $25,000",50,1337,100,1337,0,0
"1235",37359,"$25,000 under $50,000",50,2362,70,2423,0,0
"1236",37359,"$50,000 under $75,000",40,3438,60,3438,0,0
"1237",37359,"$75,000 under $100,000",30,2372,30,2487,30,117
"1238",37359,"$100,000 under $200,000",20,6390,40,6390,0,0
"1239",37359,"$200,000 or more",0,0,0,0,0,0
"1240",37360,"Total",380,39822,690,40396,100,536
"1241",37360,"$1 under $25,000",100,2738,240,2819,0,0
"1242",37360,"$25,000 under $50,000",100,6200,170,6287,20,49
"1243",37360,"$50,000 under $75,000",60,6194,100,6247,20,82
"1244",37360,"$75,000 under $100,000",50,6405,70,6542,20,80
"1245",37360,"$100,000 under $200,000",70,18285,110,18501,40,325
"1246",37360,"$200,000 or more",0,0,0,0,0,0
"1247",37361,"Total",440,31202,700,31578,70,338
"1248",37361,"$1 under $25,000",150,4114,320,4188,0,0
"1249",37361,"$25,000 under $50,000",150,6972,190,7059,30,77
"1250",37361,"$50,000 under $75,000",60,4878,80,4962,20,75
"1251",37361,"$75,000 under $100,000",40,4601,50,4601,0,0
"1252",37361,"$100,000 under $200,000",40,10637,60,10768,20,186
"1253",37361,"$200,000 or more",0,0,0,0,0,0
"1254",37362,"Total",950,53624,1410,54117,160,512
"1255",37362,"$1 under $25,000",310,7764,610,7945,0,0
"1256",37362,"$25,000 under $50,000",320,15304,430,15421,50,101
"1257",37362,"$50,000 under $75,000",150,12300,200,12408,40,118
"1258",37362,"$75,000 under $100,000",90,8474,100,8533,30,119
"1259",37362,"$100,000 under $200,000",80,9782,70,9810,40,174
"1260",37362,"$200,000 or more",0,0,0,0,0,0
"1261",37363,"Total",10280,1219966,15460,1240206,5230,28827
"1262",37363,"$1 under $25,000",1560,56271,4830,57597,330,810
"1263",37363,"$25,000 under $50,000",1770,107543,2920,109435,650,1754
"1264",37363,"$50,000 under $75,000",1710,136529,2200,138508,770,2589
"1265",37363,"$75,000 under $100,000",1630,157017,1800,159120,860,3426
"1266",37363,"$100,000 under $200,000",2730,386907,2860,391736,1900,10232
"1267",37363,"$200,000 or more",880,375699,850,383810,720,10016
"1268",37365,"Total",430,19248,540,19477,30,64
"1269",37365,"$1 under $25,000",190,3275,270,3357,0,0
"1270",37365,"$25,000 under $50,000",120,4486,130,4497,30,64
"1271",37365,"$50,000 under $75,000",70,4632,80,4768,0,0
"1272",37365,"$75,000 under $100,000",50,3138,40,3138,0,0
"1273",37365,"$100,000 under $200,000",0,3717,20,3717,0,0
"1274",37365,"$200,000 or more",0,0,0,0,0,0
"1275",37366,"Total",250,16092,390,16213,30,68
"1276",37366,"$1 under $25,000",60,2004,160,2039,0,0
"1277",37366,"$25,000 under $50,000",90,4515,120,4566,0,0
"1278",37366,"$50,000 under $75,000",40,3137,50,3172,30,68
"1279",37366,"$75,000 under $100,000",30,2400,30,2400,0,0
"1280",37366,"$100,000 under $200,000",30,4036,30,4036,0,0
"1281",37366,"$200,000 or more",0,0,0,0,0,0
"1282",37367,"Total",2350,129701,3410,131702,380,1170
"1283",37367,"$1 under $25,000",940,20386,1600,20893,40,67
"1284",37367,"$25,000 under $50,000",700,32814,930,33209,90,185
"1285",37367,"$50,000 under $75,000",330,26766,440,27036,80,205
"1286",37367,"$75,000 under $100,000",190,19373,230,19573,60,178
"1287",37367,"$100,000 under $200,000",190,24427,190,25056,110,535
"1288",37367,"$200,000 or more",0,5935,20,5935,0,0
"1289",37369,"Total",170,13999,360,14034,20,78
"1290",37369,"$1 under $25,000",60,2009,160,2044,0,0
"1291",37369,"$25,000 under $50,000",50,3632,100,3632,20,78
"1292",37369,"$50,000 under $75,000",30,2763,50,2763,0,0
"1293",37369,"$75,000 under $100,000",30,2503,30,2503,0,0
"1294",37369,"$100,000 under $200,000",0,3092,20,3092,0,0
"1295",37369,"$200,000 or more",0,0,0,0,0,0
"1296",37370,"Total",1240,88317,1970,89394,290,872
"1297",37370,"$1 under $25,000",360,10091,830,10287,30,45
"1298",37370,"$25,000 under $50,000",300,16281,450,16421,50,106
"1299",37370,"$50,000 under $75,000",280,19216,310,19369,60,160
"1300",37370,"$75,000 under $100,000",140,15384,180,15536,50,133
"1301",37370,"$100,000 under $200,000",160,27345,200,27781,100,428
"1302",37370,"$200,000 or more",0,0,0,0,0,0
"1303",37373,"Total",830,61417,1280,61913,220,843
"1304",37373,"$1 under $25,000",230,6285,500,6376,0,0
"1305",37373,"$25,000 under $50,000",180,10979,300,11088,60,150
"1306",37373,"$50,000 under $75,000",200,14130,230,14295,60,194
"1307",37373,"$75,000 under $100,000",90,9220,110,9244,30,118
"1308",37373,"$100,000 under $200,000",130,20803,140,20910,70,381
"1309",37373,"$200,000 or more",0,0,0,0,0,0
"1310",37374,"Total",470,23490,630,23756,80,251
"1311",37374,"$1 under $25,000",200,3812,300,3886,30,51
"1312",37374,"$25,000 under $50,000",130,6795,180,6897,0,0
"1313",37374,"$50,000 under $75,000",60,4232,70,4232,30,87
"1314",37374,"$75,000 under $100,000",50,3765,40,3855,0,0
"1315",37374,"$100,000 under $200,000",30,4886,40,4886,20,113
"1316",37374,"$200,000 or more",0,0,0,0,0,0
"1317",37375,"Total",580,79412,1100,80629,270,1440
"1318",37375,"$1 under $25,000",140,4117,360,4263,0,0
"1319",37375,"$25,000 under $50,000",130,8625,240,8831,60,143
"1320",37375,"$50,000 under $75,000",100,10673,180,10821,40,120
"1321",37375,"$75,000 under $100,000",60,8740,100,8849,30,134
"1322",37375,"$100,000 under $200,000",120,23111,170,23719,100,504
"1323",37375,"$200,000 or more",30,24146,50,24146,40,539
"1324",37376,"Total",100,6764,180,6793,0,0
"1325",37376,"$1 under $25,000",40,1292,90,1321,0,0
"1326",37376,"$25,000 under $50,000",30,1414,40,1414,0,0
"1327",37376,"$50,000 under $75,000",0,1941,30,1941,0,0
"1328",37376,"$75,000 under $100,000",30,2117,20,2117,0,0
"1329",37376,"$100,000 under $200,000",0,0,0,0,0,0
"1330",37376,"$200,000 or more",0,0,0,0,0,0
"1331",37377,"Total",5110,859103,7130,878379,2980,23322
"1332",37377,"$1 under $25,000",530,20960,1980,21515,140,420
"1333",37377,"$25,000 under $50,000",530,37831,1030,38696,260,806
"1334",37377,"$50,000 under $75,000",630,55109,890,56092,330,1289
"1335",37377,"$75,000 under $100,000",560,60485,700,61477,350,1663
"1336",37377,"$100,000 under $200,000",1680,218884,1580,223005,1070,7120
"1337",37377,"$200,000 or more",1180,465834,950,477594,830,12024
"1338",37379,"Total",7310,700060,11630,708869,2620,13071
"1339",37379,"$1 under $25,000",1730,49549,4110,50267,170,404
"1340",37379,"$25,000 under $50,000",1730,96256,2630,97091,400,1133
"1341",37379,"$50,000 under $75,000",1160,106039,1710,106881,480,1706
"1342",37379,"$75,000 under $100,000",1020,105438,1220,106606,440,1785
"1343",37379,"$100,000 under $200,000",1410,209022,1580,211197,840,4667
"1344",37379,"$200,000 or more",260,133756,380,136827,290,3376
"1345",37380,"Total",1850,120338,2710,121735,400,1525
"1346",37380,"$1 under $25,000",750,15294,1240,15496,40,75
"1347",37380,"$25,000 under $50,000",460,23709,650,23907,80,195
"1348",37380,"$50,000 under $75,000",260,22937,370,23063,80,243
"1349",37380,"$75,000 under $100,000",180,17868,210,18080,70,257
"1350",37380,"$100,000 under $200,000",170,26754,200,27171,100,506
"1351",37380,"$200,000 or more",30,13776,40,14018,30,249
"1352",37381,"Total",2140,173347,3550,174723,560,2213
"1353",37381,"$1 under $25,000",810,18851,1460,19131,40,76
"1354",37381,"$25,000 under $50,000",570,31682,880,31984,120,295
"1355",37381,"$50,000 under $75,000",290,28533,460,28718,110,303
"1356",37381,"$75,000 under $100,000",210,26359,300,26561,80,315
"1357",37381,"$100,000 under $200,000",230,51507,390,51782,170,838
"1358",37381,"$200,000 or more",30,16415,60,16547,40,386
"1359",37385,"Total",2020,113233,2950,114385,300,931
"1360",37385,"$1 under $25,000",760,16443,1340,16773,20,34
"1361",37385,"$25,000 under $50,000",650,29586,820,29856,60,120
"1362",37385,"$50,000 under $75,000",330,25768,420,25939,80,219
"1363",37385,"$75,000 under $100,000",170,17599,210,17697,60,193
"1364",37385,"$100,000 under $200,000",110,18127,140,18410,80,365
"1365",37385,"$200,000 or more",0,5710,20,5710,0,0
"1366",37387,"Total",1170,53481,1600,54115,110,265
"1367",37387,"$1 under $25,000",530,9992,830,10204,0,0
"1368",37387,"$25,000 under $50,000",350,14851,410,14980,40,68
"1369",37387,"$50,000 under $75,000",160,11713,190,11772,50,120
"1370",37387,"$75,000 under $100,000",80,8220,100,8285,0,0
"1371",37387,"$100,000 under $200,000",50,8705,70,8874,20,77
"1372",37387,"$200,000 or more",0,0,0,0,0,0
"1373",37388,"Total",7030,562539,11190,570692,1790,9134
"1374",37388,"$1 under $25,000",2300,57446,4690,58322,160,374
"1375",37388,"$25,000 under $50,000",1800,97104,2690,98136,290,936
"1376",37388,"$50,000 under $75,000",1030,91422,1490,92500,310,1112
"1377",37388,"$75,000 under $100,000",800,84236,970,85034,310,1341
"1378",37388,"$100,000 under $200,000",920,146326,1120,148164,540,3305
"1379",37388,"$200,000 or more",180,86005,230,88536,180,2066
"1380",37391,"Total",330,22339,520,22546,70,314
"1381",37391,"$1 under $25,000",160,3247,260,3306,20,57
"1382",37391,"$25,000 under $50,000",80,4806,130,4864,0,0
"1383",37391,"$50,000 under $75,000",40,3242,50,3242,20,78
"1384",37391,"$75,000 under $100,000",20,2792,30,2882,0,0
"1385",37391,"$100,000 under $200,000",30,8252,50,8252,30,179
"1386",37391,"$200,000 or more",0,0,0,0,0,0
"1387",37396,"Total",120,4811,160,4833,0,0
"1388",37396,"$1 under $25,000",60,1225,90,1247,0,0
"1389",37396,"$25,000 under $50,000",40,1491,40,1491,0,0
"1390",37396,"$50,000 under $75,000",20,2095,30,2095,0,0
"1391",37396,"$75,000 under $100,000",0,0,0,0,0,0
"1392",37396,"$100,000 under $200,000",0,0,0,0,0,0
"1393",37396,"$200,000 or more",0,0,0,0,0,0
"1394",37397,"Total",2630,156929,3750,158431,450,1458
"1395",37397,"$1 under $25,000",930,19722,1600,20044,40,64
"1396",37397,"$25,000 under $50,000",740,37118,1020,37339,90,177
"1397",37397,"$50,000 under $75,000",430,33032,540,33225,110,299
"1398",37397,"$75,000 under $100,000",240,26443,310,26598,90,291
"1399",37397,"$100,000 under $200,000",270,30694,250,31305,120,627
"1400",37397,"$200,000 or more",20,9920,30,9920,0,0
"1401",37398,"Total",3860,324595,6470,329923,940,4424
