"","zip","gross_income","num_dependents","adj_gross_income","total_income_returns","total_income_amount","taxes_paid_returns","taxes_paid_amount"
"102",37027,"$50,000 under $75,000",1340,155110,2500,158919,1180,5176
"103",37027,"$75,000 under $100,000",1610,193573,2220,198034,1300,6543
"104",37027,"$100,000 under $200,000",6050,822451,5720,840825,4340,27740
"105",37027,"$200,000 or more",8470,2914121,5880,2973167,5120,64813
"106",37028,"Total",150,10967,260,11153,30,159
"107",37028,"$1 under $25,000",60,1519,120,1549,0,0
"108",37028,"$25,000 under $50,000",40,2237,60,2237,0,0
"109",37028,"$50,000 under $75,000",50,3585,50,3741,30,159
"110",37028,"$75,000 under $100,000",0,0,0,0,0,0
"111",37028,"$100,000 under $200,000",0,3626,30,3626,0,0
"112",37028,"$200,000 or more",0,0,0,0,0,0
"113",37029,"Total",1600,166643,2540,169122,640,2754
"114",37029,"$1 under $25,000",280,9648,790,9949,50,105
"115",37029,"$25,000 under $50,000",280,19433,530,19677,80,202
"116",37029,"$50,000 under $75,000",380,27935,450,28338,140,449
"117",37029,"$75,000 under $100,000",250,25950,300,26232,100,398
"118",37029,"$100,000 under $200,000",340,49833,380,50475,210,1141
"119",37029,"$200,000 or more",70,33844,90,34451,60,459
"120",37030,"Total",1900,127020,2880,128920,330,1453
"121",37030,"$1 under $25,000",630,15088,1220,15380,20,43
"122",37030,"$25,000 under $50,000",570,27837,770,28220,70,157
"123",37030,"$50,000 under $75,000",340,26584,430,26886,80,224
"124",37030,"$75,000 under $100,000",170,20532,240,20796,60,223
"125",37030,"$100,000 under $200,000",160,24370,190,24774,80,525
"126",37030,"$200,000 or more",30,12609,30,12864,20,281
"127",37031,"Total",1110,94813,1790,96021,360,1243
"128",37031,"$1 under $25,000",270,7580,600,7726,40,101
"129",37031,"$25,000 under $50,000",300,17119,470,17350,70,153
"130",37031,"$50,000 under $75,000",200,19199,310,19452,70,200
"131",37031,"$75,000 under $100,000",170,17543,210,17770,80,290
"132",37031,"$100,000 under $200,000",170,21701,170,22052,100,499
"133",37031,"$200,000 or more",0,11671,30,11671,0,0
"134",37032,"Total",1490,99420,2040,100833,380,1582
"135",37032,"$1 under $25,000",360,9096,750,9314,30,85
"136",37032,"$25,000 under $50,000",500,20169,560,20447,70,166
