"","county","sum_total_population","sum_total_income_returns","sum_total_income_amount","income_per_tax_return","sum_num_dependents","sum_adj_gross_income","mean_adj_gross_income","mean_total_income_amount","sum_taxes_paid_returns","sum_taxes_paid_amount","income_category"
"70","franklin",255024,15940,774705,48.6013174404015,9660,763753,95469.125,96838.125,2020,9077,"High Income"
"71","fentress",51160,6040,231645,38.351821192053,4230,228334,57083.5,57911.25,660,2122,"Low Income"
"72","fayette",199890,16130,1240259,76.8914445133292,10470,1220519,203419.833333333,206709.833333333,4840,24281,"Very High Income"
"73","dyer",129188,14980,684719,45.7088785046729,11170,673715,168428.75,171179.75,2100,9487,"Medium Income"
"74","dickson",276234,22140,1050267,47.4375338753388,14910,1036136,172689.333333333,175044.5,3440,12893,"Medium Income"
"75","dekalb",66480,7820,316353,40.454347826087,5890,311942,77985.5,79088.25,740,2469,"Low Income"
"76","decatur",33200,4000,164930,41.2325,2630,163159,40789.75,41232.5,480,1425,"Medium Income"
"77","davidson",16622064,336210,21754199,64.7041997561048,197120,21366354,791346.444444444,805711.074074074,73990,463520,"Very High Income"
"78","cumberland",233445,22510,1061663,47.1640604175922,11560,1047358,209471.6,212332.6,3740,13663,"Medium Income"
"79","crockett",51740,5700,245666,43.099298245614,4270,242225,60556.25,61416.5,610,1993,"Medium Income"
"80","coffee",261990,25310,1233428,48.7328328723825,16640,1216504,243300.8,246685.6,3550,16508,"High Income"
"81","cocke",177468,14330,499284,34.8418702023726,9090,494390,82398.3333333333,83214,1200,4040,"Low Income"
"82","clay",8360,2010,67876,33.7691542288557,1360,67015,33507.5,33938,170,529,"Low Income"
"83","claiborne",157254,11420,453139,39.6794220665499,7340,447565,74594.1666666667,75523.1666666667,1240,5033,"Low Income"
"84","chester",47440,5610,236561,42.1677361853832,4080,233050,58262.5,59140.25,710,2262,"Medium Income"
"85","cheatham",181900,17880,961637,53.7828299776286,11750,947134,189426.8,192327.4,3450,13771,"High Income"
